fire_id,연도,월,일,시간,진화소요시간(HH),위도,경도,발생지역시도명,발생지역시군구명,발생지역읍면동명,발생지역리명,발생지역번지,발생원인명,피해면적(ha),피해금액
F_000000,2013,3,27,17,0.9333333333333333,37.63510045170228,126.99758205559453,서울특별시,강북구,수유동,,산127-1,노숙자실화 추정,,
F_000001,2013,3,10,14,0.48333333333333334,37.4507925535295,127.06916827308487,서울특별시,서초구,내곡동,,산12-415,밭두렁소각,,
F_000002,2013,10,27,11,0.8333333333333334,37.68129016655618,127.01696540439966,서울특별시,도봉구,도봉동,,산29-89,미상,,
F_000003,2013,4,16,19,1.8833333333333333,37.502707074583576,127.1476360866065,서울특별시,송파구,마천동,,54-20,방화 추정,,
F_000004,2007,3,26,15,0.23333333333333334,37.61738177694373,127.03749420632151,서울특별시,강북,미아,,산35-3,입산자실화,0.02,0.0
F_000005,2007,4,9,15,2.216666666666667,37.64608364948532,126.9537530967595,서울특별시,은평,진관내,,산51,입산자실화,0.08,0.0
F_000006,2007,1,19,15,0.16666666666666666,37.60794642726773,127.04327591997428,서울특별시,성북,상월곡,,산1-62,입산자실화,0.01,0.0
F_000007,2007,1,28,15,0.3,37.587113025524616,126.89141307204955,서울특별시,은평,수색,,산13-16,담뱃불실화추정,0.02,0.0
F_000008,2007,6,18,20,9.366666666666667,37.66989844813232,127.09160545266495,서울특별시,노원,상계,,산159-1,입산자실화,0.16,10000.0
F_000009,2007,2,4,10,0.08333333333333333,37.48269800796141,126.99894630435088,서울특별시,서초,방배,,산24-3,입산자실화,0.02,0.0
F_000010,2007,2,7,19,0.25,37.50081031511574,127.15649701481563,서울특별시,송파,마천,,산2-5,입산자실화,0.02,0.0
F_000011,2001,11,27,9,0.35,37.61986843671525,127.0411297642329,서울특별시,강북,번,,산28-6,입산자실화추정,0.01,0.0
F_000012,2002,3,23,15,0.4,37.62949359709475,127.03334377566404,서울특별시,강북,번,,산20-1,담뱃불실화추정,0.01,0.0
F_000013,2002,4,28,16,0.16666666666666666,37.62415182884196,127.03884649144705,서울특별시,강북,번,,산28-1,어린이불장난,0.01,0.0
F_000014,2003,4,4,20,0.36666666666666664,37.62949359709475,127.03334377566404,서울특별시,강북,번2,,산20-1,입산자실화추정,0.03,0.0
F_000015,2006,3,7,16,0.08333333333333333,37.62509354737103,127.03511592701203,서울특별시,강북,번,,산27-3,어린이불장난,0.01,0.0
F_000016,2008,3,8,15,0.4,37.61736842867098,127.0406380423295,서울특별시,강북,번,,산28-8,방화추정,0.02,0.0
F_000017,2002,3,11,22,0.6333333333333333,37.622832178568935,127.0554660282264,서울특별시,노원,월계,,산130,입산자실화추정,0.05,0.0
F_000018,2002,3,17,16,0.8666666666666667,37.622529409517185,127.05454101515575,서울특별시,노원,월계,,산130-1,입산자실화추정,0.07,0.0
F_000019,1998,3,9,14,2.3333333333333335,37.634551290045735,127.08987203709032,서울특별시,노원,공릉,,산222-20,어린이불장난,0.16,0.0
F_000020,2009,4,12,14,0.26666666666666666,37.627531868042865,127.08414686079622,서울특별시,노원,공릉,,산53-6,인근주민불장난추정,0.6,0.0
F_000021,2005,2,1,13,0.3333333333333333,37.63791018035917,127.04520234724941,서울특별시,도봉,창,,산202-1,입산자실화추정,0.03,0.0
F_000022,2006,5,9,17,0.38333333333333336,37.64125189232705,127.04292184117025,서울특별시,도봉,창,,산194-5,방화추정,0.15,0.0
F_000023,2000,3,24,14,1.3333333333333333,37.644673686412865,127.08068883356789,서울특별시,노원,중계본,,산131,담뱃불실화추정,0.15,0.0
F_000024,2001,11,19,14,1.0,37.66075988926587,127.08220580678194,서울특별시,노원,중계,,산30-3,담뱃불실화추정,0.02,0.0
F_000025,2002,4,28,12,1.5333333333333332,37.64491244665935,127.09186391254197,서울특별시,노원,중계본,,산104-3,담뱃불실화추정,0.2,0.0
F_000026,2003,5,18,5,0.4666666666666667,37.64555691004935,127.09037224489057,서울특별시,노원,중계본,,산104,담배불실화,0.03,0.0
F_000027,1997,3,30,12,1.1666666666666667,37.672466072780416,127.03573626618964,서울특별시,도봉,방학,,산17-1,어린이불장난,2.0,0.0
F_000028,2001,12,18,18,0.31666666666666665,37.66663276421151,127.03044723399513,서울특별시,도봉,방학,,산36-1,담뱃불실화추정,0.03,0.0
F_000029,2002,4,5,16,0.16666666666666666,37.65479665866665,127.02324973923359,서울특별시,도봉,방학,,산90-3,담뱃불실화추정,0.01,0.0
F_000030,2003,2,6,15,0.13333333333333333,37.666946685534,127.02815555538352,서울특별시,도봉,방학,,산56,담배불실화,0.01,0.0
F_000031,2003,2,15,14,0.16666666666666666,37.6711549168477,127.03883070684988,서울특별시,도봉,방학2,,산2-1,쓰레기소각,0.01,0.0
F_000032,2003,3,30,12,0.21666666666666667,37.657952270752176,127.02019977676059,서울특별시,도봉,방학,,산85-1,담배불실화,0.01,0.0
F_000033,2005,4,4,14,0.31666666666666665,37.67031329645388,127.03453344368282,서울특별시,도봉,방학,,산13-1,입산자실화추정,0.01,0.0
F_000034,2006,3,19,2,0.3,37.66263562985091,127.02049709042856,서울특별시,도봉,방학,,산69-30,쓰레기소각,0.01,0.0
F_000035,2006,3,22,20,0.35,37.66335782803234,127.02327211845561,서울특별시,도봉,방학,,산63-1,정신이상자실화,0.06,0.0
F_000036,2006,4,26,15,0.9833333333333333,37.664874480081224,127.02556104828251,서울특별시,도봉,방학,,산60-3,방화추정,0.24,0.0
F_000037,1997,10,28,11,0.3333333333333333,37.65576925039737,126.99280232649055,서울특별시,강북,우이,,산68-1,담뱃불실화추정,0.02,0.0
F_000038,1997,10,31,14,0.75,37.65576925039737,126.99280232649055,서울특별시,강북,우이,,산68-1,등산객담뱃불추정,0.03,0.0
F_000039,1998,11,8,11,0.8333333333333334,37.65576925039737,126.99280232649055,서울특별시,강북,우이,,산68-1,담뱃불실화,0.02,0.0
F_000040,1999,3,28,9,0.5166666666666667,37.65576925039737,126.99280232649055,서울특별시,강북,우이,,산68-1,담뱃불실화추정,0.1,0.0
F_000041,2000,4,4,12,2.75,37.65576925039737,126.99280232649055,서울특별시,강북,우이,,산68-1,입산자실화추정,1.8,0.0
F_000042,2000,4,7,16,1.0333333333333334,37.65576925039737,126.99280232649055,서울특별시,강북,우이,,산68-1,입산자실화추정,0.13,0.0
F_000043,2002,3,4,3,1.2833333333333332,37.65634409728322,127.00585520866959,서울특별시,강북,우이,,산65-1,담뱃불실화추정,0.16,0.0
F_000044,2002,3,19,7,0.45,37.65906073652893,127.0097052802706,서울특별시,강북,우이,,산40-1,임야연접주택화재,0.03,0.0
F_000045,2005,1,1,9,0.9333333333333333,37.65576925039737,126.99280232649055,서울특별시,강북,우이,,산68-1,무속인실화추정,0.2,0.0
F_000046,2006,4,28,20,6.25,37.65576925039737,126.99280232649055,서울특별시,강북,우이,,산68-1,방화추정,4.39,0.0
F_000047,1996,4,11,15,0.5833333333333334,37.68250718429077,127.08768681271367,서울특별시,노원,상계,,산155-1,기타,0.5,400.0
F_000048,2010,4,4,10,0.6166666666666667,37.44854113390625,127.04967573838447,서울특별시,서초,원지,,산56-1,농산폐기물소각,0.02,0.0
F_000049,2012,6,2,17,1.5666666666666667,37.62113938208377,127.09156792904258,서울특별시,노원,상계동,,51-1,방화추정,0.03,0.0
F_000050,2012,6,3,12,5.75,37.627385831936955,127.08217132446899,서울특별시,노원,상계동,,산44-2,방화추정,1.6,0.0
F_000051,1996,6,8,18,7.4,37.6772129905181,127.06424210724717,서울특별시,노원,상계,,산56,성묘객실화,0.8,100.0
F_000052,1997,2,13,17,0.5666666666666667,37.66903792597727,127.06519473441648,서울특별시,노원,상계,,산122-1,어린이불장난,0.25,0.0
F_000053,1997,2,23,17,0.7333333333333333,37.673126712262665,127.0756865516822,서울특별시,노원,상계,,산152-1,입산자실화추정,0.3,0.0
F_000054,1997,4,21,14,0.4166666666666667,37.67954337108193,127.08027280990868,서울특별시,노원,상계,,산154-2,낙엽소각,0.2,20.0
F_000055,1997,4,21,16,0.8333333333333334,37.68608535075306,127.0569005504923,서울특별시,노원,상계,,산12-1,입산자실화추정,0.13,0.0
F_000056,1998,2,18,1,1.0,37.68731853766954,127.0698728860493,서울특별시,노원,상계,,산1-2,입산자실화,0.26,0.0
F_000057,1998,3,8,14,0.7333333333333333,37.668032113322475,127.0857448575381,서울특별시,노원,상계,,산162-1,입산자실화,0.33,0.0
F_000058,1998,3,10,13,0.4166666666666667,37.668032113322475,127.0857448575381,서울특별시,노원,상계,,산162-1,입산자실화,0.03,0.0
F_000059,1998,3,14,16,0.3333333333333333,37.67286548106907,127.08562272842877,서울특별시,노원,상계,,산161-1,등산객실화추정,0.03,0.0
F_000060,1998,6,1,10,0.8166666666666667,37.676562738498085,127.08487556723455,서울특별시,노원,상계,,산153-1,등산객실화추정,0.1,0.0
F_000061,2001,3,18,15,0.35,37.67286548106907,127.08562272842877,서울특별시,노원,상계,,산161-1,어린이불장난추정,0.01,0.0
F_000062,2001,4,23,14,1.1166666666666667,37.664848813476446,127.08164476462862,서울특별시,노원,상계,,산173-3,담뱃불실화추정,0.11,0.0
F_000063,2001,5,13,17,0.5833333333333334,37.673126712262665,127.0756865516822,서울특별시,노원,상계,,산152-1,담뱃불실화추정,0.02,300.0
F_000064,2001,5,14,12,0.48333333333333334,37.673126712262665,127.0756865516822,서울특별시,노원,상계,,산152-1,담뱃불실화추정,0.01,0.0
F_000065,2001,12,6,12,1.4833333333333334,37.66893517417802,127.06236971316436,서울특별시,노원,상계,,산118-1,공장화재,0.01,0.0
F_000066,2002,3,4,20,1.0333333333333334,37.67954337108193,127.08027280990868,서울특별시,노원,상계,,산154-2,입산자실화추정,0.2,0.0
F_000067,2003,12,14,19,0.5,37.6817157716657,127.06633108798061,서울특별시,노원,상계1,,산44-1,입산자실화,0.02,0.0
F_000068,2005,1,23,17,7.516666666666667,37.676562738498085,127.08487556723455,서울특별시,노원,상계,,산153-1,입산자실화추정,0.02,0.0
F_000069,2005,5,5,4,2.3166666666666664,37.685460154774155,127.07328677179403,서울특별시,노원,상계,,산1-1,입산자실화추정,0.3,0.0
F_000070,2008,4,16,10,1.15,37.668093406079244,127.07087253042714,서울특별시,노원,상계,,산145-7,어린이불장난추정,0.04,0.0
F_000071,2000,3,25,8,0.75,37.673799608929556,127.01908062030682,서울특별시,도봉,도봉,,산86-2,입산자실화추정,0.07,0.0
F_000072,2012,6,17,17,2.5833333333333335,37.55682846608339,127.11234412137128,서울특별시,광진,중곡동,,3-3,원인미상,0.3,0.0
F_000073,2012,6,28,11,1.6666666666666665,37.6853436352315,127.03095669241334,서울특별시,도봉,방학동,,산60,원인미상,0.01,0.0
F_000074,2001,12,1,13,0.31666666666666665,37.67707159048136,127.04161695191505,서울특별시,도봉,도봉,,산98-1,담뱃불실화추정,0.01,0.0
F_000075,2002,2,5,15,0.11666666666666667,37.69297724844803,127.0416311347399,서울특별시,도봉,도봉,,산2-1,어린이불장난추정,0.01,0.0
F_000076,2002,3,16,16,0.3,37.68362997008003,127.04088373631987,서울특별시,도봉,도봉,,산68-2,담뱃불실화추정,0.03,0.0
F_000077,2004,3,23,14,1.5166666666666666,37.69243847189943,127.03152828253008,서울특별시,도봉,도봉,,산29-9,담뱃불실화,0.3,0.0
F_000078,2006,3,25,19,0.55,37.68104109723597,127.03820310756926,서울특별시,도봉,도봉,,산70-1,건물화재비화,0.2,607.0
F_000079,2006,4,24,23,0.23333333333333334,37.68705226750477,127.03684766435165,서울특별시,도봉,도봉,,산11-1,담뱃불실화추정,0.01,0.0
F_000080,2009,4,14,13,0.8,37.68215233537197,127.0280002884326,서울특별시,도봉,도봉,,산53,미상,0.01,0.0
F_000081,2000,3,25,16,0.9,37.574193180542665,126.80363839002558,서울특별시,강서,개화,,산100,입산자실화추정,0.03,0.0
F_000082,2001,4,9,18,0.16666666666666666,37.570717961810914,126.82019399507507,서울특별시,강서,방화,,산79-3,어린이불장난추정,0.01,0.0
F_000083,2001,4,3,18,0.2,37.60752230472278,126.94285385289798,서울특별시,은평,녹번,,산1-1,어린이불장난,0.02,0.0
F_000084,2003,3,23,16,0.11666666666666667,37.60333073996579,126.93223425972494,서울특별시,은평,녹번,,산28-2,입산자실화추정,0.01,0.0
F_000085,2006,3,25,16,0.23333333333333334,37.60752230472278,126.94285385289798,서울특별시,은평,녹번,,산1-1,입산자실화,3.0,8882.0
F_000086,1996,4,11,15,0.5,37.61801680946216,126.9433290575845,서울특별시,은평,불광,,산42-1,입산자실화,3.3,0.0
F_000087,1996,6,7,5,2.5833333333333335,37.61801680946216,126.9433290575845,서울특별시,은평,불광,,산42-1,기타,3.0,690.0
F_000088,1998,12,21,18,1.8166666666666667,37.61801680946216,126.9433290575845,서울특별시,은평,불광,,산42-1,입산자실화추정,0.2,0.0
F_000089,1999,3,27,17,1.6,37.61801680946216,126.9433290575845,서울특별시,은평,불광,,산42-1,무속행위추정,0.07,0.0
F_000090,2001,3,23,14,0.2,37.61633084742373,126.92976226778282,서울특별시,은평,불광,,산54-5,어린이불장난,0.01,0.0
F_000091,2001,4,4,15,0.25,37.626497580672066,126.93011245991791,서울특별시,은평,불광,,산28-1,어린이불장난추정,0.01,0.0
F_000092,2001,4,27,18,0.6833333333333333,37.61801680946216,126.9433290575845,서울특별시,은평,불광,,산42-1,담뱃불실화추정,0.13,0.0
F_000093,2002,10,23,16,0.3333333333333333,37.61801680946216,126.9433290575845,서울특별시,은평,불광,,산42-1,담뱃불실화추정,0.01,0.0
F_000094,2003,4,4,20,0.2,37.625761460822055,126.93019577545498,서울특별시,은평,불광,,산29-4,담배불실화,0.01,0.0
F_000095,2003,4,16,16,0.43333333333333335,37.61801680946216,126.9433290575845,서울특별시,은평,불광,,산42-1,담배불실화,0.02,0.0
F_000096,2006,4,8,20,0.25,37.62456143046396,126.93225688140677,서울특별시,은평,불광,,산10-1,담뱃불실화추정,0.04,0.0
F_000097,2008,3,21,17,0.5833333333333334,37.62098364673934,126.93089014103971,서울특별시,은평,불광,,산33-1,입산자실화,0.06,0.0
F_000098,2012,4,8,20,2.35,37.62586304871758,126.917843220495,서울특별시,은평,진관동,,산25,등산객실화,0.02,1641.0
F_000099,2012,4,9,14,0.6333333333333333,37.55687265103805,127.11230617206945,서울특별시,광진,구의동,,산3-16,등산객실화,0.1,3990.0
F_000100,2006,5,2,19,0.15,37.65241883761401,127.02560804445186,서울특별시,도봉,쌍문,,산248-6,입산자실화,0.01,0.0
F_000101,1984,10,19,13,0.5833333333333334,37.594865408006555,127.04874600217717,서울특별시,동대문,회기,,산4-50,담뱃불실화추정,0.01,0.0
F_000102,2010,11,9,21,0.36666666666666664,37.61644981260324,126.97064893622849,서울특별시,종로,평창,,산6-386,입산자실화,0.01,940.0
F_000103,2012,4,9,19,0.9666666666666667,37.55768891620368,127.09612950083142,서울특별시,광진,중곡동,,산143-126,등산객실화,0.15,3109.0
F_000104,2003,11,23,16,0.36666666666666664,37.59732765338505,126.95489819597127,서울특별시,서대문,홍은2,,산1-181,담배불실화,0.03,0.0
F_000105,1996,2,21,0,1.0,37.64190505592718,127.01072718367692,서울특별시,강북,수유,,산68-1,기타,1.2,60.0
F_000106,2010,11,16,18,0.9333333333333333,37.5876359124723,126.95545385080428,서울특별시,서대문,홍제,,산1,등산객실화,0.01,0.0
F_000107,2012,6,14,21,0.8333333333333334,37.449747998831974,126.91841273200379,서울특별시,금천,시흥동,,산91-4,원인미상,0.01,500.0
F_000108,1998,3,24,15,0.16666666666666666,37.59387516074996,126.9288285086372,서울특별시,은평,응암,,산7-5,입산자실화추정,0.06,0.0
F_000109,2002,4,5,12,0.06666666666666667,37.606767626834646,127.10239937165561,서울특별시,중랑,신내,,산77-1,담배불실화추정,0.02,0.0
F_000110,2012,6,26,12,1.0166666666666666,37.570132441960844,127.0969938012997,서울특별시,광진,중곡동,,143-134,원인미상,0.03,0.0
F_000111,2012,10,15,21,7.183333333333334,37.64830103102679,127.08166630685615,서울특별시,노원,불암,,산37-8,원인미상,0.1,0.0
F_000112,1997,3,24,18,0.5,37.46885020329231,127.0894078081547,서울특별시,강남,자곡,,산46-43,자살추정,0.01,50.0
F_000113,2006,1,27,11,0.2833333333333333,37.46292605061168,127.01490719741237,서울특별시,서초,우면,,산84,공장화재비화,0.01,0.0
F_000114,1997,4,26,15,0.5,37.45624353389308,126.94267601972166,서울특별시,관악,신림,,산29,입산자실화추정,0.06,360.0
F_000115,1998,4,20,13,0.5,37.47865761554478,126.93907641778958,서울특별시,관악,신림,,산1-1,입산자실화추정,0.03,0.0
F_000116,2000,4,5,16,0.95,37.45105441561871,126.9588176985553,서울특별시,관악,신림,,산56-1,담뱃불실화추정,0.23,0.0
F_000117,2000,5,9,10,0.9666666666666667,37.44594897453955,126.9465341887248,서울특별시,관악,신림,,산56-2,입산자실화추정,0.02,0.0
F_000118,2001,3,16,17,0.13333333333333333,37.45624353389308,126.94267601972166,서울특별시,관악,신림,,산29,입산자실화추정,0.01,0.0
F_000119,2001,4,18,15,0.7166666666666667,37.47405218808719,126.92539567669871,서울특별시,관악,신림,,산125-4,어린이불장난추정,0.03,0.0
F_000120,2001,5,13,16,0.2833333333333333,37.46699102605388,126.92590110941245,서울특별시,관악,신림,,산89,분신자살,0.01,0.0
F_000121,2001,6,6,21,0.95,37.463393529220774,126.94672896171018,서울특별시,관악,신림,,산29-1,담뱃불실화추정,0.01,0.0
F_000122,2001,10,28,22,3.8333333333333335,37.47865761554478,126.93907641778958,서울특별시,관악,신림,,산1-1,방화추정,0.4,0.0
F_000123,2001,11,27,16,0.4166666666666667,37.481729906300124,126.9346153322916,서울특별시,관악,신림,,산170-135,담뱃불실화추정,0.01,0.0
F_000124,2002,2,14,23,0.4,37.47676609205471,126.92604018250103,서울특별시,관악,신림,,산159-5,담뱃불실화추정,0.01,0.0
F_000125,2002,3,3,17,0.7333333333333333,37.47850503704758,126.92165962789237,서울특별시,관악,신림,,산191-13,담뱃불실화추정,0.2,0.0
F_000126,2002,3,12,16,0.18333333333333332,37.46721322293772,126.92848723835989,서울특별시,관악,신림,,산88,어린이불장난추정,0.01,0.0
F_000127,2002,4,29,5,0.7833333333333333,37.45624353389308,126.94267601972166,서울특별시,관악,신림,,산29,입산자실화추정,0.02,0.0
F_000128,2002,12,4,21,0.9166666666666666,37.44594897453955,126.9465341887248,서울특별시,관악,신림,,산56-2,담뱃,0.01,0.0
F_000129,2003,3,4,12,0.25,37.47917730270803,126.91896794860337,서울특별시,관악,신림,,산193-1,담배불실화,0.01,0.0
F_000130,2003,4,1,15,0.3333333333333333,37.4650074572545,126.9444400858223,서울특별시,관악,신림,,산27-1,담배불실화,0.01,0.0
